19346.75*A,R03,ALKALI LAKE STATE,ALKALI LAKE,OR,ANM,SEA,PU,43-05-14.5420N,119-58-33.8640W,PU,,NON-NPIAS,,N,,,0,50 
50029.1*A,6A8,ALLAKAKET,ALLAKAKET,AK,AAL,NONE,PU,66-33-06.6000N,152-37-19.8000W,PU,,General Aviation,,N,,,0,2270 
21251.*A,AGC,ALLEGHENY COUNTY,PITTSBURGH,PA,AEA,HAR,PU,40-21-15.9755N,079-55-44.5680W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR,94,56303 
25647.*A,BKT,ALLEN C PERKINSON BLACKSTONE AAF,BLACKSTONE,VA,AEA,DCA,PU,37-04-29.1624N,077-57-23.7544W,PU,,NON-NPIAS,,Y,100LLA,,9,4170 
06691.*A,K88,ALLEN COUNTY,IOLA,KS,ACE,NONE,PU,37-52-05.6000N,095-23-13.0000W,PU,,General Aviation,,N,100LLA    MOGAS,,12,16278 
04335.*A,U78,ALLEN H TIGERT,SODA SPRINGS,ID,ANM,HLN,PU,42-38-54.6000N,111-34-54.5000W,PU,,NON-NPIAS,,N,100LL,,6,7300 
07682.2*A,ACP,ALLEN PARISH,OAKDALE,LA,ASW,LNM,PU,30-45-01.7994N,092-41-18.5691W,PU,,General Aviation,,N,100LLA,AGRI,14,14100 
22099.1*A,AQX,ALLENDALE COUNTY,ALLENDALE,SC,ASO,ATL,PU,32-59-42.4000N,081-16-12.9000W,PU,,General Aviation,,N,100LLA,,10,9080 
19674.*A,XLL,ALLENTOWN QUEEN CITY MUNI,ALLENTOWN,PA,AEA,HAR,PU,40-34-13.0000N,075-29-17.9000W,PU,,General Aviation,,N,100LLA,AFRT  INSTR  RNTL,81,34658 
12597.*A,AIA,ALLIANCE MUNI,ALLIANCE,NE,ACE,NONE,PU,42-03-11.6000N,102-48-13.5000W,PU,III A S 12/1974,General Aviation,,N,100LLA,AGRI  INSTR  RNTL  SALES,69,12579 
05823.*A,K98,ALLISON MUNI,ALLISON,IA,ACE,NONE,PU,42-45-49.9150N,092-48-15.7000W,PU,,NON-NPIAS,,N,,,2,1250 
12598.*A,4D9,ALMA MUNI,ALMA,NE,ACE,NONE,PU,40-06-44.9000N,099-20-47.1000W,PU,,General Aviation,,N,100LL,,13,1250 
10206.1*A,2C5,ALMENA,PAW PAW,MI,AGL,DET,PU,42-15-10.7450N,085-51-05.9550W,PR,,NON-NPIAS,,N,,,8,1000 
00860.*A,M73,ALMYRA MUNI,ALMYRA,AR,ASW,AOK,PU,34-24-44.9087N,091-27-55.0608W,PU,,General Aviation,,N,100LL,AGRI,9,54100 
09518.*A,APN,ALPENA COUNTY RGNL,ALPENA,MI,AGL,DET,PU,45-04-41.1000N,083-33-37.1000W,PU,I A S 05/1973,Primary,Non-Hub,Y,100LLA,CARGO  CHTR  INSTR  SALES,18,5902 
27733.12*A,46U,ALPINE,ALPINE,WY,ANM,DEN,PU,43-10-54.3850N,111-02-18.6850W,PR,,NON-NPIAS,,N,100LLA,SALES,143,2400 
01866.4*A,M45,ALPINE COUNTY,MARKLEEVILLE,CA,AWP,SFO,PU,38-44-05.1000N,119-46-01.4000W,PU,,NON-NPIAS,,N,,,0,250 
23307.*A,E38,ALPINE-CASPARIS MUNI,ALPINE,TX,ASW,TEX,PU,30-23-03.2000N,103-41-00.9000W,PU,,General Aviation,,N,100LLA,AMB  INSTR,26,10450 
50920.31*A,A57,ALSEK RIVER,YAKUTAT,AK,AAL,NONE,PU,59-11-57.1800N,138-27-03.6000W,PU,,NON-NPIAS,,N,,CARGO,0,200 
13182.*C,B18,ALTON BAY,ALTON BAY,NH,ANE,NONE,PU,43-28-39.3000N,071-14-13.2000W,PU,,NON-NPIAS,,N,,,0,600 
19685.*A,AOO,ALTOONA-BLAIR COUNTY,ALTOONA,PA,AEA,HAR,PU,40-17-46.9000N,078-19-12.1000W,PU,I A S 07/1990,Commercial Service,,N,100LLA,AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,43,23750 
01234.*A,AAT,ALTURAS MUNI,ALTURAS,CA,AWP,SFO,PU,41-28-58.7000N,120-33-55.4000W,PU,,General Aviation,,N,100LLA,CHTR,9,19750 
18779.*A,AXS,ALTUS/QUARTZ MOUNTAIN RGNL,ALTUS,OK,ASW,AOK,PU,34-41-55.7000N,099-20-18.5000W,PU,,General Aviation,,N,100LLA,AMB  INSTR  RNTL  SALES,36,6000 
18783.1*A,AVK,ALVA RGNL,ALVA,OK,ASW,AOK,PU,36-46-24.1224N,098-40-12.6737W,PU,,General Aviation,,N,100LLA,AGRI  INSTR  RNTL,48,6500 
24851.1*A,64F,ALVIE COLE RANCH,STERLING CITY,TX,ASW,TEX,PU,31-38-37.0000N,100-58-10.3000W,PR,,NON-NPIAS,,N,,,0,10 
23314.*A,6R5,ALVIN AIRPARK,ALVIN,TX,ASW,TEX,PU,29-24-53.1000N,095-17-20.1000W,PR,,NON-NPIAS,,N,,,3,2700 
05828.*A,C11,AMANA,AMANA,IA,ACE,NONE,PU,41-47-36.9000N,091-51-53.1800W,PR,,NON-NPIAS,,N,,AGRI,3,1280 
50029.61*A,AFM,AMBLER,AMBLER,AK,AAL,NONE,PU,67-06-23.1000N,157-51-27.0000W,PU,,General Aviation,,N,,CHTR,1,5000 
06476.*A,K59,AMELIA EARHART,ATCHISON,KS,ACE,NONE,PU,39-34-13.8890N,095-10-49.1930W,PU,,General Aviation,,N,100LL,INSTR  RNTL,23,16100 
50031.*A,80A,AMERICAN CREEK,AMERICAN CREEK,AK,AAL,NONE,PU,65-06-06.1880N,151-10-38.9290W,PU,,NON-NPIAS,,N,,,1,250 
04134.*A,U01,AMERICAN FALLS,AMERICAN FALLS,ID,ANM,HLN,PU,42-47-50.3400N,112-49-30.6720W,PU,,NON-NPIAS,,N,,,33,18025 
26433.*C,W37,AMERICAN LAKE,TACOMA,WA,ANM,SEA,PU,47-08-29.3520N,122-33-39.4520W,PU,,NON-NPIAS,,N,,,0,50 
